,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
17695,US,"Aromas of black raspberry, black cherry and a cinnamon spice are laid across a slate-driven minerality on the nose of this bottling. It's plush on the sip, with hibiscus and raspberry notes, lifted by pepper, camphor and white sage elements.",KW VIneyard,92,32.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Mignanelli 2013 KW VIneyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Mignanelli,High
68099,Italy,"This blend of Sangiovese, Merlot and Cabernet Sauvignon opens with aromas of evident oak, saw dust and blackberry. The palate delivers ripe black cherry, black currant and raisin flavors, with accents of white pepper and clove.",Foresco,87,18.0,Central Italy,Umbria,,Kerin O’Keefe,@kerinokeefe,Barberani 2010 Foresco Red (Umbria),Red Blend,Barberani,Low
35705,US,"A kitchen sink blend of white grapes, it comes together with interesting if slightly disjointed effects. There is honey and slight buttercream on the nose (likely from the Chardonnay lead). Once sipped, lush fruit comes to the fore, characterized by caramelized pear (probably the Viognier). On top of that, there is tangy acidity and slight tarriness.",Gold,86,16.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Quadrant 2011 Gold White (Paso Robles),White Blend,Quadrant,Low
52337,US,"A vivid coral color, aromas like cotton candy, and floral, jammy flavors make this wine tasty. It is light in body and lightly sweet, with a soft, bubbly texture.",Ca' Rosa,87,15.0,California,California,California Other,Jim Gordon,@gordone_cellars,Ca' Momi NV Ca' Rosa Sparkling (California),Sparkling Blend,Ca' Momi,Low
52131,US,"The winery held back releasing the wine until this spring, probably to give the tannins extra time to soften up. It's got herbal flavors and the fruit seems to be fading. Drink up. —P.G.",,85,21.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Kestrel 1997 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Kestrel,Low
81582,France,"The first mouthful reveals a wine that is just plain opulent and rich. Only on the second taste do dense tannins push their way in, a structure that is concentrated, dry and tight. The fruit flavors are also forward, strawberry juice touched with cranberry juice dryness. This could age well, give it 4–5 years.",Clos du Roi Premier Cru,92,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2005 Clos du Roi Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils,High
32941,Spain,"Prieto Picudo is largely an unknown variety with a propensity for yielding weird wines. But this offering is made cleanly, and in an internationally familiar style. Aromas of licorice root, tobacco and cedar rest atop a base of black-fruit scents. The palate is juicy and tannic, while plum and berry flavors are surrounded by mocha, coffee and graphite notes. Drink or hold through 2018.",Cumal,92,48.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,Dominio Dostares 2007 Cumal Prieto Picudo (Vino de la Tierra de Castilla y León),Prieto Picudo,Dominio Dostares,High
72640,Portugal,"Juicy Alicante Bouschet shines in this smooth, rich wine. Dark tannins are cushioned by the ripe berry fruits and opulent texture. Wood-aging has given extra richness to this powerful and complex wine that needs time. Drink from 2017.",Rapariga da Quinta Reserva,93,26.0,Alentejano,,,Roger Voss,@vossroger,Luis Duarte 2012 Rapariga da Quinta Reserva Red (Alentejano),Portuguese Red,Luis Duarte,High
47749,US,"Pristine grapefruit, lemon and tangerine flavors reverberate throughout this cutting, crisp wine. Its fresh, breezy style belies its alcoholic breadth and weight, making it an ideal interloper between Pinot Grigio and Gris styles.",Gigliotti Vineyards,87,14.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Lakewood 2014 Gigliotti Vineyards Pinot Gris (Finger Lakes),Pinot Gris,Lakewood,Low
11066,Argentina,"Loud berry and oak aromas are a touch herbal. Typical for Mendoza Malbec, this is round and oaky on the palate, with related vanilla, licorice and bitter coffee flavors on top of core blackberry. A relatively smooth finish makes this well worth a go.",Reserve,87,16.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Alma Andina 2012 Reserve Malbec (Mendoza),Malbec,Alma Andina,Low
